ticker, industry, subindustry, close price on 20th June
MMM,Industrials,Industrial Conglomerates,101.66000366210938
AOS,Industrials,Building Products,83.91999816894531
ABT,Health Care,Health Care Equipment,106.56999969482422
ABBV,Health Care,Biotechnology,172.1300048828125
ACN,Information Technology,IT Consulting & Other Services,306.1600036621094
ADBE,Information Technology,Application Software,522.9500122070312
AMD,Information Technology,Semiconductors,161.77999877929688
AES,Utilities,Independent Power Producers & Energy Traders,18.860000610351562
AFL,Financials,Life & Health Insurance,89.76000213623047
A,Health Care,Life Sciences Tools & Services,132.72999572753906
APD,Materials,Industrial Gases,272.07000732421875
ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",147.8800048828125
AKAM,Information Technology,Internet Services & Infrastructure,89.36000061035156
ALB,Materials,Specialty Chemicals,93.79000091552734
ARE,Real Estate,Office REITs,115.33999633789062
ALGN,Health Care,Health Care Supplies,242.61000061035156
ALLE,Industrials,Building Products,115.75
LNT,Utilities,Electric Utilities,50.9900016784668
ALL,Financials,Property & Casualty Insurance,162.58999633789062
GOOGL,Communication Services,Interactive Media & Services,176.3000030517578
GOOG,Communication Services,Interactive Media & Services,177.7100067138672
MO,Consumer Staples,Tobacco,45.43000030517578
AMZN,Consumer Discretionary,Broadline Retail,186.10000610351562
AMCR,Materials,Paper & Plastic Packaging Products & Materials,9.880000114440918
AEE,Utilities,Multi-Utilities,71.05999755859375
AAL,Industrials,Passenger Airlines,11.239999771118164
AEP,Utilities,Electric Utilities,87.87999725341797
AXP,Financials,Consumer Finance,230.2100067138672
AIG,Financials,Multi-line Insurance,74.87999725341797
AMT,Real Estate,Telecom Tower REITs,194.1699981689453
AWK,Utilities,Water Utilities,130.25999450683594
AMP,Financials,Asset Management & Custody Banks,442.2200012207031
AME,Industrials,Electrical Components & Equipment,168.52000427246094
AMGN,Health Care,Biotechnology,309.8900146484375
APH,Information Technology,Electronic Components,68.44000244140625
ADI,Information Technology,Semiconductors,229.50999450683594
ANSS,Information Technology,Application Software,325.67999267578125
AON,Financials,Insurance Brokers,296.5899963378906
APA,Energy,Oil & Gas Exploration & Production,28.299999237060547
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",209.67999267578125
AMAT,Information Technology,Semiconductor Materials & Equipment,239.99000549316406
APTV,Consumer Discretionary,Automotive Parts & Equipment,73.25
ACGL,Financials,Property & Casualty Insurance,102.44999694824219
ADM,Consumer Staples,Agricultural Products & Services,61.0099983215332
ANET,Information Technology,Communications Equipment,340.19000244140625
AJG,Financials,Insurance Brokers,264.6600036621094
AIZ,Financials,Multi-line Insurance,169.60000610351562
T,Communication Services,Integrated Telecommunication Services,18.110000610351562
ATO,Utilities,Gas Utilities,117.18000030517578
ADSK,Information Technology,Application Software,243.50999450683594
ADP,Industrials,Human Resource & Employment Services,246.05999755859375
AZO,Consumer Discretionary,Automotive Retail,3008.22998046875
AVB,Real Estate,Multi-Family Residential REITs,201.92999267578125
AVY,Materials,Paper & Plastic Packaging Products & Materials,226.0
AXON,Industrials,Aerospace & Defense,293.1400146484375
BKR,Energy,Oil & Gas Equipment & Services,32.970001220703125
BALL,Materials,"Metal, Glass & Plastic Containers",60.43000030517578
BAC,Financials,Diversified Banks,39.9900016784668
BK,Financials,Asset Management & Custody Banks,58.84000015258789
BBWI,Consumer Discretionary,Other Specialty Retail,42.29999923706055
BAX,Health Care,Health Care Equipment,34.0
BDX,Health Care,Health Care Equipment,238.39999389648438
BRK.B,Financials,Multi-Sector Holdings,nan
BBY,Consumer Discretionary,Computer & Electronics Retail,92.37000274658203
BIO,Health Care,Life Sciences Tools & Services,285.6199951171875
TECH,Health Care,Life Sciences Tools & Services,74.52999877929688
BIIB,Health Care,Biotechnology,225.5800018310547
BLK,Financials,Asset Management & Custody Banks,782.8300170898438
BX,Financials,Asset Management & Custody Banks,124.68000030517578
BA,Industrials,Aerospace & Defense,176.3000030517578
BKNG,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",3972.080078125
BWA,Consumer Discretionary,Automotive Parts & Equipment,33.130001068115234
BXP,Real Estate,Office REITs,61.40999984741211
BSX,Health Care,Health Care Equipment,77.0
BMY,Health Care,Pharmaceuticals,41.040000915527344
AVGO,Information Technology,Semiconductors,1734.56005859375
BR,Industrials,Data Processing & Outsourced Services,199.94000244140625
BRO,Financials,Insurance Brokers,92.88999938964844
BF.B,Consumer Staples,Distillers & Vintners,nan
BLDR,Industrials,Building Products,144.74000549316406
BG,Consumer Staples,Agricultural Products & Services,103.33999633789062
CDNS,Information Technology,Application Software,318.5299987792969
CZR,Consumer Discretionary,Casinos & Gaming,38.79999923706055
CPT,Real Estate,Multi-Family Residential REITs,109.37000274658203
CPB,Consumer Staples,Packaged Foods & Meats,44.75
COF,Financials,Consumer Finance,138.1300048828125
CAH,Health Care,Health Care Distributors,104.37000274658203
KMX,Consumer Discretionary,Automotive Retail,71.36000061035156
CCL,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",16.059999465942383
CARR,Industrials,Building Products,64.22000122070312
CTLT,Health Care,Pharmaceuticals,54.81999969482422
CAT,Industrials,Construction Machinery & Heavy Transportation Equipment,329.1300048828125
CBOE,Financials,Financial Exchanges & Data,172.33999633789062
CBRE,Real Estate,Real Estate Services,90.18000030517578
CDW,Information Technology,Technology Distributors,231.92999267578125
CE,Materials,Specialty Chemicals,138.0500030517578
COR,Health Care,Health Care Distributors,235.67999267578125
CNC,Health Care,Managed Health Care,67.4800033569336
CNP,Utilities,Multi-Utilities,31.280000686645508
CF,Materials,Fertilizers & Agricultural Chemicals,74.12999725341797
CHRW,Industrials,Air Freight & Logistics,87.48999786376953
CRL,Health Care,Life Sciences Tools & Services,209.6300048828125
SCHW,Financials,Investment Banking & Brokerage,72.69999694824219
CHTR,Communication Services,Cable & Satellite,284.0
CVX,Energy,Integrated Oil & Gas,156.63999938964844
CMG,Consumer Discretionary,Restaurants,3214.419921875
CB,Financials,Property & Casualty Insurance,266.4800109863281
CHD,Consumer Staples,Household Products,108.91000366210938
CI,Health Care,Health Care Services,337.8800048828125
CINF,Financials,Property & Casualty Insurance,115.4000015258789
CTAS,Industrials,Diversified Support Services,706.510009765625
CSCO,Information Technology,Communications Equipment,46.720001220703125
C,Financials,Diversified Banks,60.619998931884766
CFG,Financials,Regional Banks,34.68000030517578
CLX,Consumer Staples,Household Products,135.74000549316406
CME,Financials,Financial Exchanges & Data,198.49000549316406
CMS,Utilities,Multi-Utilities,59.47999954223633
KO,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,62.18000030517578
CTSH,Information Technology,IT Consulting & Other Services,68.13999938964844
CL,Consumer Staples,Household Products,96.94999694824219
CMCSA,Communication Services,Cable & Satellite,37.849998474121094
CAG,Consumer Staples,Packaged Foods & Meats,28.5
COP,Energy,Oil & Gas Exploration & Production,111.33000183105469
ED,Utilities,Multi-Utilities,90.52999877929688
STZ,Consumer Staples,Distillers & Vintners,262.8299865722656
CEG,Utilities,Electric Utilities,222.30999755859375
COO,Health Care,Health Care Supplies,91.7300033569336
CPRT,Industrials,Diversified Support Services,54.0099983215332
GLW,Information Technology,Electronic Components,39.849998474121094
CPAY,Financials,Transaction & Payment Processing Services,262.45001220703125
CTVA,Materials,Fertilizers & Agricultural Chemicals,52.369998931884766
CSGP,Real Estate,Real Estate Services,73.06999969482422
COST,Consumer Staples,Consumer Staples Merchandise Retail,862.4400024414062
CTRA,Energy,Oil & Gas Exploration & Production,26.889999389648438
CRWD,Information Technology,Systems Software,382.1400146484375
CCI,Real Estate,Telecom Tower REITs,96.41000366210938
CSX,Industrials,Rail Transportation,33.310001373291016
CMI,Industrials,Construction Machinery & Heavy Transportation Equipment,278.30999755859375
CVS,Health Care,Health Care Services,61.0
DHR,Health Care,Life Sciences Tools & Services,248.55999755859375
DRI,Consumer Discretionary,Restaurants,154.2899932861328
DVA,Health Care,Health Care Services,140.24000549316406
DAY,Industrials,Human Resource & Employment Services,49.86000061035156
DECK,Consumer Discretionary,Footwear,989.4400024414062
DE,Industrials,Agricultural & Farm Machinery,381.5299987792969
DAL,Industrials,Passenger Airlines,49.61000061035156
DVN,Energy,Oil & Gas Exploration & Production,45.9900016784668
DXCM,Health Care,Health Care Equipment,116.06999969482422
FANG,Energy,Oil & Gas Exploration & Production,192.72999572753906
DLR,Real Estate,Data Center REITs,147.88999938964844
DFS,Financials,Consumer Finance,127.77999877929688
DG,Consumer Staples,Consumer Staples Merchandise Retail,127.5
DLTR,Consumer Staples,Consumer Staples Merchandise Retail,107.58000183105469
D,Utilities,Multi-Utilities,49.810001373291016
DPZ,Consumer Discretionary,Restaurants,525.0
DOV,Industrials,Industrial Machinery & Supplies & Components,183.3000030517578
DOW,Materials,Commodity Chemicals,54.209999084472656
DHI,Consumer Discretionary,Homebuilding,141.14999389648438
DTE,Utilities,Multi-Utilities,111.12000274658203
DUK,Utilities,Electric Utilities,100.0999984741211
DD,Materials,Specialty Chemicals,79.87000274658203
EMN,Materials,Specialty Chemicals,98.08000183105469
ETN,Industrials,Electrical Components & Equipment,323.239990234375
EBAY,Consumer Discretionary,Broadline Retail,53.84000015258789
ECL,Materials,Specialty Chemicals,243.88999938964844
EIX,Utilities,Electric Utilities,71.87999725341797
EW,Health Care,Health Care Equipment,88.83999633789062
EA,Communication Services,Interactive Home Entertainment,137.85000610351562
ELV,Health Care,Managed Health Care,534.7899780273438
LLY,Health Care,Pharmaceuticals,885.989990234375
EMR,Industrials,Electrical Components & Equipment,108.13999938964844
ENPH,Information Technology,Semiconductor Materials & Equipment,108.56999969482422
ETR,Utilities,Electric Utilities,106.29000091552734
EOG,Energy,Oil & Gas Exploration & Production,121.98999786376953
EPAM,Information Technology,IT Consulting & Other Services,181.8000030517578
EQT,Energy,Oil & Gas Exploration & Production,37.7599983215332
EFX,Industrials,Research & Consulting Services,239.77000427246094
EQIX,Real Estate,Data Center REITs,763.5999755859375
EQR,Real Estate,Multi-Family Residential REITs,67.8499984741211
ESS,Real Estate,Multi-Family Residential REITs,280.0799865722656
EL,Consumer Staples,Personal Care Products,112.69999694824219
ETSY,Consumer Discretionary,Broadline Retail,58.20000076293945
EG,Financials,Reinsurance,380.2799987792969
EVRG,Utilities,Electric Utilities,52.869998931884766
ES,Utilities,Electric Utilities,57.9900016784668
EXC,Utilities,Electric Utilities,34.939998626708984
EXPE,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",125.4800033569336
EXPD,Industrials,Air Freight & Logistics,126.25
EXR,Real Estate,Self-Storage REITs,158.0
XOM,Energy,Integrated Oil & Gas,111.73999786376953
FFIV,Information Technology,Communications Equipment,169.74000549316406
FDS,Financials,Financial Exchanges & Data,408.3500061035156
FICO,Information Technology,Application Software,1412.760009765625
FAST,Industrials,Trading Companies & Distributors,65.12000274658203
FRT,Real Estate,Retail REITs,101.0
FDX,Industrials,Air Freight & Logistics,252.52000427246094
FIS,Financials,Transaction & Payment Processing Services,76.4800033569336
FITB,Financials,Diversified Banks,35.91999816894531
FSLR,Information Technology,Semiconductors,260.07000732421875
FE,Utilities,Electric Utilities,38.22999954223633
FI,Financials,Transaction & Payment Processing Services,149.94000244140625
FMC,Materials,Fertilizers & Agricultural Chemicals,54.380001068115234
F,Consumer Discretionary,Automobile Manufacturers,11.9399995803833
FTNT,Information Technology,Systems Software,57.939998626708984
FTV,Industrials,Industrial Machinery & Supplies & Components,72.97000122070312
FOXA,Communication Services,Broadcasting,34.349998474121094
FOX,Communication Services,Broadcasting,31.90999984741211
BEN,Financials,Asset Management & Custody Banks,22.600000381469727
FCX,Materials,Copper,49.36000061035156
GRMN,Consumer Discretionary,Consumer Electronics,159.9600067138672
IT,Information Technology,IT Consulting & Other Services,450.4800109863281
GE,Industrials,Aerospace & Defense,165.0
GEHC,Health Care,Health Care Equipment,79.44000244140625
GEV,Industrials,Heavy Electrical Equipment,177.17999267578125
GEN,Information Technology,Systems Software,23.760000228881836
GNRC,Industrials,Electrical Components & Equipment,137.58999633789062
GD,Industrials,Aerospace & Defense,299.6300048828125
GIS,Consumer Staples,Packaged Foods & Meats,66.69000244140625
GM,Consumer Discretionary,Automobile Manufacturers,47.77000045776367
GPC,Consumer Discretionary,Distributors,141.4199981689453
GILD,Health Care,Biotechnology,68.48999786376953
GPN,Financials,Transaction & Payment Processing Services,94.37000274658203
GL,Financials,Life & Health Insurance,82.56999969482422
GDDY,Information Technology,Internet Services & Infrastructure,137.91000366210938
GS,Financials,Investment Banking & Brokerage,458.04998779296875
HAL,Energy,Oil & Gas Equipment & Services,33.33000183105469
HIG,Financials,Property & Casualty Insurance,103.69000244140625
HAS,Consumer Discretionary,Leisure Products,60.619998931884766
HCA,Health Care,Health Care Facilities,338.3699951171875
DOC,Real Estate,Health Care REITs,19.3799991607666
HSIC,Health Care,Health Care Distributors,66.55000305175781
HSY,Consumer Staples,Packaged Foods & Meats,182.0
HES,Energy,Integrated Oil & Gas,147.13999938964844
HPE,Information Technology,"Technology Hardware, Storage & Peripherals",21.479999542236328
HLT,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",217.80999755859375
HOLX,Health Care,Health Care Equipment,72.20999908447266
HD,Consumer Discretionary,Home Improvement Retail,353.44000244140625
HON,Industrials,Industrial Conglomerates,214.13999938964844
HRL,Consumer Staples,Packaged Foods & Meats,30.479999542236328
HST,Real Estate,Hotel & Resort REITs,18.059999465942383
HWM,Industrials,Aerospace & Defense,79.51000213623047
HPQ,Information Technology,"Technology Hardware, Storage & Peripherals",36.2400016784668
HUBB,Industrials,Industrial Machinery & Supplies & Components,380.07000732421875
HUM,Health Care,Managed Health Care,357.4200134277344
HBAN,Financials,Regional Banks,12.520000457763672
HII,Industrials,Aerospace & Defense,247.36000061035156
IBM,Information Technology,IT Consulting & Other Services,173.9199981689453
IEX,Industrials,Industrial Machinery & Supplies & Components,203.1699981689453
IDXX,Health Care,Health Care Equipment,495.9599914550781
ITW,Industrials,Industrial Machinery & Supplies & Components,243.3300018310547
INCY,Health Care,Biotechnology,62.36000061035156
IR,Industrials,Industrial Machinery & Supplies & Components,93.18000030517578
PODD,Health Care,Health Care Equipment,199.30999755859375
